blood_chr	blood_start	blood_end	blood_name	blood_meandiff	blood_strand	sperm_chr	sperm_start	sperm_end	sperm_name	sperm_meandiff	sperm_strand	blood_idx	sperm_idx	blood_genes	sperm_genes	blood_probes	sperm_probes	blood_fdr	sperm_fdr	concordant
chr6	127796683	127797022	blood_2	0.112720383499437	*	chr6	127796683	127797022	sperm_22	0.0869491117254523	*	2	22	THEMIS	THEMIS	cg20390711;cg14079463;cg20513398;cg04580344	cg20390711;cg14079463;cg20513398;cg04580344	1.64997664525954e-16	2.76707595086262e-15	TRUE
chr5	178208550	178208610	blood_3	-0.0916501749102785	*	chr5	178208550	178208610	sperm_113	-0.131208544988297	*	3	113	HNRNPAB, PHYKPL	HNRNPAB, PHYKPL	cg23513686;cg11786587	cg23513686;cg11786587	2.77214536049733e-17	0.0101101730638845	TRUE
chr10	27702309	27703377	blood_4	0.0677640635353691	*	chr10	27702309	27703377	sperm_4	0.0529767718370124	*	4	4	MKX	MKX	cg13458005;cg18669948;cg02402587;cg00650361;cg02933909;cg00632657;cg14174317;cg15283904	cg13458005;cg18669948;cg02402587;cg00650361;cg02933909;cg00632657;cg14174317;cg15283904	3.46671201325592e-14	1.35325449567513e-19	TRUE
chr1	1003126	1003529	blood_8	0.05620304226087	*	chr1	1003126	1003529	sperm_26	0.0634782829273833	*	8	26	ISG15	ISG15	cg10955566;cg08709360;cg01244934;cg15899727	cg10955566;cg08709360;cg01244934;cg15899727	1.14210984183956e-09	4.88105943734236e-12	TRUE
chr19	51330265	51330299	blood_19	0.0697669066755244	*	chr19	51330265	51330299	sperm_72	0.0548130074275937	*	19	72	IGLON5	IGLON5	cg15116481;cg18254983	cg15116481;cg18254983	5.85200321705288e-06	5.88083798780444e-07	TRUE
chr8	2591207	2591411	blood_22	0.118117731818823	*	chr8	2591207	2591411	sperm_70	0.0641908163740265	*	22	70	AC245123.1	AC245123.1	cg04671734;cg08242633	cg04671734;cg08242633	2.34583391150704e-05	4.98193851369744e-07	TRUE
chr10	133647499	133647534	blood_24	-0.0616778739339947	*	chr10	133647499	133647534	sperm_100	-0.10570360300292	*	24	100			cg04390831;cg11519836	cg04390831;cg11519836	3.02245473472629e-05	6.49974406850055e-06	TRUE
chr19	18888799	18889003	blood_27	0.0706331175401468	*	chr19	18888799	18889003	sperm_119	-0.0943417448379076	*	27	119	GDF1, CERS1	GDF1, CERS1	cg15190383;cg05365033	cg15190383;cg05365033	0.000135120037219164	0.0381438479939649	FALSE
chr2	132110136	132110512	blood_35	0.0599587032744164	*	chr2	132110136	132110512	sperm_90	0.0516284345368854	*	35	90			cg23880151;cg07588819	cg23880151;cg07588819	0.00103173626777551	6.13544576647821e-06	TRUE
chr16	90172731	90173019	blood_43	0.0519132367840033	*	chr16	90172731	90173019	sperm_42	0.0535410435381291	*	43	42	FAM157C	FAM157C	cg20797188;cg09490556;cg04735481;cg06336912	cg20797188;cg09490556;cg04735481;cg06336912	0.000902628096601307	1.07068428108746e-08	TRUE
chr6	170208291	170208306	blood_44	0.0586058475885848	*	chr6	170208291	170208306	sperm_104	-0.0975859260416604	*	44	104			cg10295095;cg03764484	cg10295095;cg03764484	0.00430237852719403	0.0010937607124897	FALSE
chr1	25593055	25593175	blood_48	0.10513363700453	*	chr1	25593055	25593175	sperm_116	0.121810535903423	*	48	116			cg21826606;cg16220844	cg21826606;cg16220844	0.0106478819071674	0.0190771009646525	TRUE
chr11	1283946	1283970	blood_50	-0.0537278919372696	*	chr11	1283946	1283970	sperm_32	-0.0853706981674292	*	50	32	TOLLIP	TOLLIP	cg01274643;cg15363314	cg01274643;cg15363314	0.0160116974503373	2.3685059012817e-12	TRUE
chr22	46285638	46285682	blood_57	0.0584596021023944	*	chr22	46285638	46285682	sperm_71	0.0726109407659644	*	57	71	TTC38	TTC38	cg12301347;cg15236483	cg12301347;cg15236483	0.0231771002677147	3.09632119163098e-07	TRUE
chr16	2848577	2848797	blood_61	0.0809904333670357	*	chr16	2848577	2848797	sperm_43	0.0929427679981645	*	61	43			cg08084154;cg19403023	cg08084154;cg19403023	0.0198297054214712	1.80465114727995e-09	TRUE
chr4	1521984	1522229	blood_66	0.0525562012833168	*	chr4	1521984	1522229	sperm_47	0.0557160733080187	*	66	47			cg27311590;cg12456927	cg27311590;cg12456927	0.0354432348396631	3.30587138705591e-09	TRUE
chr7	157754600	157754746	blood_72	0.0505105933131253	*	chr7	157754600	157754746	sperm_68	-0.0522411636265864	*	72	68	PTPRN2	PTPRN2	cg18311871;cg16609021;cg11072645	cg18311871;cg16609021;cg11072645	0.036646341898846	2.62191722905238e-08	FALSE
chr2	113992694	113993313	blood_75	0.0651476237233895	*	chr2	113992694	113993313	sperm_1	0.0802416250846521	*	75	1	LINC01191	LINC01191	cg23122642;cg21482265;cg11763394;cg21550016;cg07772999;cg19083407;cg07594247;cg17445212	cg23122642;cg21482265;cg11763394;cg21550016;cg07772999;cg19083407;cg07594247;cg17445212	0.0152567706500034	7.68646637822512e-35	TRUE
