seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr6	144386041	144386848	808	*	15	4.07574090271805e-27	5.78561331347788e-14	0.00161163967057546	6.76113225319042e-13	0.0606735035993635	0.0269344583583066	UTRN	cg02926622;cg09307468;cg06493166;cg00814597;cg02279224;cg16334244;cg12444861;cg02849309;cg01595870;cg09293391;cg25291978;cg04895233;cg25535418;cg10254692;cg21113768
chr5	173415533	173416154	622	*	7	3.25445883969837e-23	4.65237226078975e-14	0.00129313369178339	2.60336239999219e-12	0.144062110320681	0.0795265591008192	AC016573.1	cg21882808;cg01340347;cg21756326;cg25633130;cg19954348;cg07825270;cg09195723
chr7	96651281	96652481	1201	*	12	4.42842111480592e-23	7.13309989043752e-13	0.00287273747053869	4.59463472966858e-12	0.0474635877445675	0.0244711511098644	SEM1	cg13462129;cg15732768;cg27016494;cg18873386;cg11367354;cg27032146;cg11500797;cg11891395;cg08101303;cg02101486;cg24115040;cg08832603
chr1	147379437	147380398	962	*	9	3.25314969988118e-23	5.74958999814644e-13	0.00137438443448865	7.01120252743261e-12	0.140212968734361	0.0637741405084616	LINC00624	cg20209861;cg20831981;cg25372115;cg18024684;cg04153464;cg17297015;cg05161602;cg11153057;cg05777400
chr13	23310188	23310675	488	*	6	3.75896792212265e-21	2.4293499698073e-13	0.00130613299712009	1.20121997050668e-11	0.0285556518844305	0.022024829598638	SGCG	cg03042692;cg05215994;cg20395040;cg18959621;cg05656990;cg17136073
chr7	16566101	16566464	364	*	8	8.86326812219534e-20	1.24751041908395e-13	0.00340035687694966	1.40486787573609e-11	0.121171850213969	0.0758336855856198	LRRC72	cg08278401;cg09952508;cg08917092;cg21915983;cg11944657;cg03377952;cg19641667;cg03425506
chr6	31913051	31914068	1018	*	10	2.11947094945858e-21	6.08266899859985e-13	0.0022938550991879	2.0717261457506e-11	-0.0547412098714955	-0.0333292284993593	C2	cg08356618;cg15847272;cg23538064;cg07880384;cg22670819;cg07421596;cg06060835;cg00381684;cg08956226;cg04945153
chr6	26108235	26109295	1061	*	8	8.82752805163696e-20	1.03818974213664e-11	0.00200946345712004	1.47155068678993e-10	0.0885794419367745	0.0576343109986827	NA	cg09382618;cg19515446;cg05959834;cg23190053;cg08004300;cg11350315;cg19722391;cg12765632
chr2	139259176	139260866	1691	*	9	1.19601539424882e-18	5.82027055382566e-10	0.00239217722513793	2.08963370992112e-10	0.0753312234736896	0.034257644630838	NA	cg06238156;cg23663635;cg04264344;cg21620608;cg11492041;cg01278209;cg19936585;cg10532188;cg27111050
chr15	47476104	47476260	157	*	5	4.05686291229763e-20	1.2728901774117e-11	0.000823932936832058	2.20057643746244e-10	0.0477290597358135	0.0321485106195334	SEMA6D	cg17847336;cg26224311;cg03699385;cg18867004;cg11732037
chr19	17596689	17597999	1311	*	8	1.98115663551939e-21	4.19813623740296e-11	0.00113248045602489	2.44520771285401e-10	0.147741172623874	0.0944649361207151	NA	cg21044328;cg00011574;cg03535829;cg19934500;cg05026302;cg09325679;cg15429854;cg03197505
chr19	2272716	2274042	1327	*	6	4.07705878793526e-17	1.06078364956521e-11	0.00159892543956655	3.0766170465369e-10	0.0841961987686322	0.0475735966484187	OAZ1, AC005258.1	cg13437554;cg01859460;cg25654695;cg00635590;cg18612126;cg15179454
chr2	21022844	21023915	1072	*	11	1.81978628543865e-19	5.03572560274173e-11	0.00421413281221616	3.17900952767454e-10	0.0528358662799798	0.0237198852516692	AC010872.1, APOB	cg01203385;cg26625629;cg00935993;cg00742062;cg23503703;cg14903097;cg02946570;cg19428444;cg15726514;cg14999113;cg09835161
chr2	73053331	73053721	391	*	7	2.94683486158655e-19	3.30499678247499e-10	0.00200530064006669	3.89386752009215e-10	0.0474211222542122	0.0318156041952824	SFXN5	cg10453977;cg04550697;cg08727428;cg00500424;cg18168203;cg11719457;cg26317376
chr17	37123638	37123843	206	*	7	1.2443985689752e-19	9.8202300001871e-11	0.00106279530673762	5.28460751693818e-10	0.0486820656083855	0.0374140697003434	ACACA	cg22361859;cg14399930;cg16530382;cg26740942;cg10600889;cg00055529;cg04120272
chr5	140531097	140531865	769	*	5	4.74820405895633e-18	3.15470066009902e-11	0.00105811831017179	6.11921920300343e-10	0.203610397149395	0.10767401608922	ANKHD1, ANKHD1-EIF4EBP3	cg05953939;cg13089454;cg26394771;cg27069422;cg16594581
chr17	72968764	72969567	804	*	12	2.49745196946959e-23	1.01489815643541e-06	0.0015584101453185	7.07546402295448e-10	0.0367267183384331	0.0159238648877226	SLC39A11	cg22806444;cg07775604;cg03443162;cg08449860;cg13258989;cg20935945;cg00806198;cg13745142;cg24428040;cg05865011;cg03553897;cg16326697
chr15	52404887	52405464	578	*	10	2.25630616448913e-19	3.08312209743323e-09	0.00300144140042657	1.3371206749485e-09	0.0535980768875875	0.0203665681858997	MYO5A	cg13040886;cg04519487;cg12067522;cg14431573;cg19114050;cg03151554;cg15190747;cg03929531;cg09593462;cg00413066
chr18	8608333	8609068	736	*	5	3.18548937646499e-17	9.15271380421345e-11	0.00133535312430054	1.71703815470492e-09	0.0711362612777404	0.0340543870945845	NA	cg07124972;cg16735685;cg21156812;cg12615761;cg02938682
chr7	27127448	27128169	722	*	6	5.3034908885098e-17	4.30762497208177e-10	0.00086422672389539	3.9189284994396e-09	0.0413171251318209	0.0236598898932812	HOXA-AS2, HOXA3	cg20171559;cg24757553;cg23178550;cg00650641;cg23894086;cg18557185
chr4	151501623	151501806	184	*	4	2.25630616448913e-19	4.91109797849048e-10	0.000266501478487784	4.18040571775626e-09	0.261453776545128	0.124271781526931	FAM160A1	cg14904733;cg20481837;cg17433772;cg27086483
chr10	102590225	102590401	177	*	3	5.81101172439973e-21	9.09209438755225e-10	6.11121944274148e-05	4.45123046978278e-09	0.0706019605165005	0.0496749059885695	SUFU	cg24146331;cg03546235;cg06379721
chr1	11160013	11160243	231	*	9	3.838091077768e-15	2.81705026420053e-10	0.00617684830604382	6.30078727938322e-09	0.0301419598646709	0.0170055368831242	MTOR	cg18435880;cg24726995;cg11539038;cg23668379;cg00155504;cg04440027;cg15139248;cg03617456;cg22969829
chr16	77233012	77233249	238	*	5	1.53076329092833e-16	8.83472811655684e-10	0.00134452841453732	6.96475187083073e-09	0.114639084791137	0.073636840660354	AC009139.2	cg10105149;cg10504344;cg08011959;cg00602371;cg07656751
chr18	74799250	74800029	780	*	6	5.65817428963303e-14	7.51300509625837e-10	0.00238487823278903	1.27600493057571e-08	0.0906479633483681	0.049898024798396	ZNF407	cg17199181;cg13572782;cg11598403;cg17266581;cg08737246;cg15407373
chr5	1769262	1770031	770	*	5	3.78568012700649e-15	9.61615942234644e-10	0.00147266909691883	1.29812819101198e-08	0.127338552253778	0.0809193769743982	NA	cg00617889;cg07767350;cg08878447;cg16481046;cg01308483
chr2	9284892	9286157	1266	*	7	2.59446471444268e-18	1.25366919919281e-08	0.00133766950457545	1.46532227339497e-08	0.0901171844561735	0.0382042607800846	ASAP2	cg00608183;cg05116672;cg04479798;cg11560155;cg25337514;cg21221545;cg03565241
chr7	129845832	129846361	530	*	4	3.16521549707862e-16	5.61273758503115e-09	0.000684565475883306	3.6567415308225e-08	0.0741759121245514	0.0429281578632036	UBE2H	cg01323706;cg08263236;cg15851320;cg24513021
chr8	144442429	144442847	419	*	3	5.78881887727346e-16	7.76217852161297e-09	0.000424705310682263	4.28820633658077e-08	0.0730767094839574	0.0663207539853765	TONSL	cg05580800;cg00173063;cg18063989
chr11	111250338	111250744	407	*	7	1.09130636513783e-15	5.70354045982747e-08	0.00270709223457697	4.39124324601918e-08	0.0721004641174502	0.0337970422605194	C11orf53	cg07534554;cg19148410;cg20140034;cg05905611;cg10694914;cg19602649;cg12012195
chr1	62207325	62208188	864	*	8	2.15062573239895e-18	6.0944799542026e-08	0.00198738935006657	4.86929269620053e-08	0.0668223470777182	0.030302932623604	L1TD1, AL162739.1	cg03605365;cg04914562;cg02366686;cg12128740;cg26620308;cg10139846;cg11285536;cg13919148
chr3	16646435	16646582	148	*	3	7.58450366522508e-16	8.98892420794036e-09	0.000432009031090854	4.90727133505079e-08	0.193766018895258	0.117397757524702	DAZL	cg27248643;cg23976985;cg06429195
chr19	52772305	52772724	420	*	9	3.49533671802931e-14	2.039934680206e-08	0.00497445181795646	5.89503337358116e-08	0.0651170419716058	0.017715495849253	ZNF600	cg10188300;cg18548288;cg26713179;cg23877816;cg07000361;cg05865436;cg19485105;cg21046355;cg09978460
chr6	792658	792778	121	*	4	1.08341771611981e-14	1.58895590547924e-08	0.000662339256645972	8.78011895086726e-08	0.138973100192967	0.0682581069064979	AL357054.2	cg21690793;cg23580626;cg09194778;cg26297490
chr3	40547118	40547855	738	*	15	6.72584576609087e-14	2.85609857601754e-06	0.0105321591995397	9.88453883852289e-08	0.0400798550953462	0.0123834825032179	ZNF621	cg05013490;cg00053618;cg07448319;cg08695100;cg21112719;cg00372169;cg14039773;cg03336678;cg07863244;cg17536784;cg14207967;cg17481046;cg27209816;cg02238136;cg02329599
