seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr6	29648161	29649092	932	*	24	4.87699755500988e-49	2.45562929379103e-30	0.0021260225338709	9.36543016455098e-27	0.0963475052565492	0.0466144852261621	NA	cg25978138;cg11747594;cg15708526;cg04071440;cg08022281;cg10648573;cg12644888;cg22494932;cg25699073;cg07134666;cg00588198;cg06032337;cg16885113;cg20228636;cg11383134;cg03198009;cg03449857;cg15570656;cg02157626;cg13835168;cg08041448;cg24100841;cg19636627;cg20961245
chr2	113992694	113993313	620	*	8	7.68646637822512e-35	2.24912789445083e-19	0.000352302890033928	3.9719262020511e-17	0.157253991991845	0.0802416250846521	LINC01191	cg23122642;cg21482265;cg11763394;cg21550016;cg07772999;cg19083407;cg07594247;cg17445212
chr6	31148370	31148666	297	*	14	1.09117853642136e-28	1.34964789437485e-19	0.00246111497500054	7.87588787283751e-17	0.104225309265764	0.0489981415602306	CCHCR1	cg17931227;cg09179646;cg22291762;cg24427850;cg26668675;cg03078486;cg22701603;cg26818629;cg27547543;cg09357589;cg01982166;cg23252259;cg14036627;cg11811828
chr3	133502564	133502952	389	*	8	3.80380410009284e-28	8.85106421115346e-18	0.00085021343575431	1.94593129517019e-15	0.118413448256709	0.0589970021387859	NA	cg11941060;cg02414224;cg17952877;cg03760072;cg08048268;cg01448562;cg20276088;cg16414030
chr14	70690287	70690704	418	*	7	5.14581233448186e-28	1.83764924165734e-16	0.000371240240642126	1.50129240566721e-14	0.0654514562666105	0.0382422561543224	NA	cg23618713;cg23442650;cg03589715;cg26146732;cg21484985;cg08322580;cg04204356
chr8	22132641	22133076	436	*	11	3.36941516555308e-25	5.09919254966535e-16	0.00170507264683031	3.06741517169405e-14	0.0834869712310622	0.0435499952483695	HR	cg00420450;cg14487702;cg10298898;cg10137597;cg21471580;cg26039829;cg02463440;cg02788857;cg18135555;cg09517075;cg07298985
chr19	33210552	33210851	300	*	7	6.71495711603265e-28	1.04220859645389e-15	0.000362978993353789	4.90916024644671e-14	0.179552169331184	0.124327089529249	SLC7A10	cg02820072;cg11977760;cg07028389;cg18155407;cg07564471;cg02871941;cg19712189
chr21	15352085	15354232	2148	*	12	3.7428359188779e-23	3.91502289119537e-14	0.00121629946678743	1.71948669296529e-13	0.0917983251839448	0.0408726079591069	NA	cg25292358;cg18681837;cg00566515;cg11324748;cg14384940;cg02197629;cg27306467;cg06343169;cg10044179;cg08518507;cg12699187;cg16616362
chr5	135415693	135416613	921	*	14	2.92003735421001e-23	7.04200559090887e-15	0.00124409987319938	4.91180076492191e-13	0.0903078437700751	0.0297693441401216	NA	cg07158503;cg04515200;cg13581155;cg11978884;cg11608150;cg06478886;cg04481923;cg18678645;cg06536614;cg25340688;cg26896946;cg00124993;cg08745965;cg18797653
chr6	33091111	33092243	1133	*	18	9.89808045440145e-29	4.29020746200053e-11	0.00258622489707467	5.99531040640575e-13	0.122359584939859	0.0438764184559384	HLA-DPA2	cg02375585;cg03227783;cg10055398;cg05547391;cg03978169;cg24938100;cg15737123;cg22136013;cg19710814;cg17217478;cg18927185;cg09397044;cg01309395;cg11715943;cg26650827;cg01685549;cg09510698;cg08313040
chr17	16593426	16593885	460	*	8	4.28064461940298e-23	3.04330328241414e-14	0.00121519178650307	1.09313040755816e-12	0.0846722640489236	0.0361652322308914	NA	cg26800237;cg07570663;cg25349314;cg04306489;cg14078639;cg03049249;cg04316233;cg02879122
chr10	27702309	27703377	1069	*	8	1.35325449567513e-19	2.31091345819576e-14	0.00178261206489755	2.0262082637295e-12	0.0869840211499398	0.0529767718370124	MKX	cg13458005;cg18669948;cg02402587;cg00650361;cg02933909;cg00632657;cg14174317;cg15283904
chr17	36997420	36997740	321	*	8	1.50154430105204e-23	2.14645088700227e-13	0.000588438168097934	2.45382387230205e-12	0.105735552353068	0.0468946027163201	AATF	cg19817652;cg20084219;cg04487205;cg19760250;cg18343108;cg23290482;cg12552293;cg21852429
chr6	28601365	28601419	55	*	5	4.09598140757431e-24	1.40641504822192e-13	0.000345535924661428	3.83263286328025e-12	0.0926311960255207	0.0805658674198365	ZBED9	cg27535677;cg22497095;cg26865747;cg03759229;cg13565129
chr6	74072242	74072376	135	*	6	4.40960178248251e-21	1.04546316053742e-13	0.00111079106585171	5.2938468404234e-12	0.0631331090890798	0.0508694929498025	AL357507.1	cg20048521;cg19146112;cg16074228;cg27237745;cg13001017;cg26550861
chr1	110254662	110254919	258	*	9	7.23151087181107e-23	1.02077189983754e-12	0.000751080853465983	6.07206215987324e-12	0.0579207683554469	0.0288132371356402	KCNC4	cg25593510;cg25520068;cg05376982;cg20803293;cg25210835;cg24467349;cg12858902;cg14377951;cg23719124
