seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr15	25444152	25446170	2019	*	11	3.84309514462794e-43	2.5175891139946e-15	3.2033406747357e-07	5.19105749455143e-19	0.0631961886266228	0.034394784701717	NA	cg10669129;cg25709978;cg14494854;cg07245921;cg10922915;cg13083260;cg02221367;cg03028105;cg13586160;cg10957836;cg26879800
chr5	173415533	173416154	622	*	7	1.97905596965577e-27	8.68867528052586e-12	4.69282212793343e-06	1.75716756761816e-12	0.0520877355736425	0.0270458079647779	AC016573.1	cg21882808;cg01340347;cg21756326;cg25633130;cg19954348;cg07825270;cg09195723
chr17	27899259	27900384	1126	*	7	5.54783102024683e-19	9.87993944087104e-12	0.000209003310085717	8.05263597038755e-11	0.0700677103420328	0.0436400167046483	NA	cg13381498;cg18618017;cg22141459;cg06772580;cg05877788;cg04498198;cg04965167
chr7	16566101	16566464	364	*	8	9.3318578802403e-28	9.79226579516951e-09	2.35388197499444e-07	8.87075862632611e-11	-0.101632700905514	-0.00129965727995258	LRRC72	cg08278401;cg09952508;cg08917092;cg21915983;cg11944657;cg03377952;cg19641667;cg03425506
chr15	65627092	65627108	17	*	3	1.39870482336534e-21	7.50213744855233e-11	1.27186865411152e-06	1.88373830536814e-10	0.0466951569666527	0.0378921655005725	SLC24A1	cg03700567;cg09525107;cg17287585
chr14	105239665	105240042	378	*	7	1.28607759136518e-22	7.31124745933876e-09	2.96898908202448e-06	4.27446815070994e-10	0.0413338837231275	0.0221104965262736	BRF1	cg04297581;cg10532523;cg27550973;cg16126178;cg07820552;cg15666099;cg23928982
chr19	17596689	17597999	1311	*	8	5.21242280840864e-18	6.60361632574438e-09	0.000140369832408471	1.64884460475502e-09	0.0385823074089571	0.015900078841667	NA	cg21044328;cg00011574;cg03535829;cg19934500;cg05026302;cg09325679;cg15429854;cg03197505
chr2	98274472	98275410	939	*	8	1.16996193859984e-17	1.38551051679348e-10	0.00123046613195016	1.97859018197908e-09	0.0240295596403593	0.0157177356814339	VWA3B	cg01266688;cg11826338;cg12718641;cg11939193;cg22880456;cg01864100;cg07414544;cg12608703
chr11	2548319	2548989	671	*	6	7.61011410185478e-21	1.67865767456877e-07	1.19775215921345e-05	3.26050675156529e-09	0.0449297580110029	0.0196089630743891	KCNQ1	cg05623526;cg03010408;cg12520982;cg18450293;cg27037789;cg25554751
chr7	158856818	158857011	194	*	2	6.67970153875349e-20	1.26767788287898e-07	6.59475545330244e-08	2.11438776303257e-08	0.0637192689470151	0.0377245396998951	DYNC2I1	cg24511953;cg08693281
chr1	228473704	228473933	230	*	4	2.17271770779105e-14	3.06514813065414e-09	0.000566764085709813	2.38184616225853e-08	0.0374639474691485	0.0309777309109468	NA	cg03033447;cg11852843;cg13107669;cg20775370
chr1	1848649	1849305	657	*	4	1.04457492875638e-13	9.40350090295614e-08	0.00024480412412987	2.3516930748845e-07	0.0459461920985815	0.0171634811045204	GNB1	cg17592667;cg03442254;cg16989443;cg07177011
chr21	43240195	43240559	365	*	4	2.13508389348354e-13	6.91167692563163e-07	0.000326949661139647	3.1650329655745e-07	-0.0640789272757221	0.000402934628339145	NA	cg25348983;cg00607912;cg14282798;cg24982179
chr3	134634602	134635534	933	*	3	1.97341284621149e-13	2.26800112714234e-07	5.0240024541517e-05	3.65825569841789e-07	0.0419340345358213	0.034679390548179	EPHB1, KY	cg04352763;cg13488725;cg05668807
chr11	111250338	111250744	407	*	7	1.67862569180291e-16	6.42390147674378e-06	5.95917897427022e-05	3.99097124181907e-07	0.0993357545321887	0.0486239440164718	C11orf53	cg07534554;cg19148410;cg20140034;cg05905611;cg10694914;cg19602649;cg12012195
chr10	75401236	75401380	145	*	5	1.22165062531235e-13	8.26307978890868e-05	0.00019338934847099	5.46862350569648e-07	0.0346840552520675	0.0225916403180663	AC010997.3, ZNF503	cg00111977;cg25757869;cg20090194;cg25944620;cg06032021
chr8	144807941	144808965	1025	*	4	5.07623172012651e-14	1.0098694007268e-06	9.49195642721781e-05	5.60862347189247e-07	0.0305869579921539	0.0255591046137487	ZNF517	cg06465371;cg00238815;cg04440325;cg09380067
chr19	2272716	2274042	1327	*	6	8.70432846261157e-11	3.51776715213997e-06	0.000264481026267334	5.82811527809047e-07	0.0572346841489301	0.0293749130326957	OAZ1, AC005258.1	cg13437554;cg01859460;cg25654695;cg00635590;cg18612126;cg15179454
chr11	69811151	69811162	12	*	2	1.04891908254034e-11	2.43942128128523e-07	0.000155689709619927	6.22611858190528e-07	0.0400971230038536	0.036373622526955	FGF3	cg01257664;cg05317455
chr17	73632612	73632704	93	*	2	5.53431970047025e-12	3.97655214775772e-07	4.80035877274727e-05	7.66892511499478e-07	0.0400515250849583	0.0322783291310802	SDK2	cg27050818;cg08544510
chr18	74799250	74800029	780	*	6	8.8946896200972e-17	4.85439510130043e-06	7.97288742343575e-05	1.46380626552017e-06	0.0769006683838505	0.0481388720900786	ZNF407	cg17199181;cg13572782;cg11598403;cg17266581;cg08737246;cg15407373
chr1	1114523	1114963	441	*	6	1.92704858265218e-15	4.82114036765265e-06	1.45048294984246e-05	1.60542348889701e-06	0.0503512776268985	0.0253808349161496	C1orf159	cg16043700;cg19584957;cg07173112;cg07841371;cg23275914;cg14220262
chr1	5917284	5917845	562	*	5	6.22372045006337e-12	1.98839991142158e-05	0.000351899374052101	3.97634258790312e-06	0.0487387340013228	0.0187139911852212	NPHP4	cg04621353;cg12438598;cg15728744;cg24864189;cg24883265
chr8	26435801	26436527	727	*	7	1.94592436917858e-18	0.000335749971166135	5.85998767876138e-06	4.15216048915131e-06	-0.0218142192505333	-0.00262200629423553	BNIP3L	cg20320535;cg10443954;cg04493788;cg14797610;cg03615005;cg00926238;cg03245229
chr2	71693675	71694016	342	*	7	8.70432846261157e-11	2.24277032925073e-06	0.00847699988499734	4.65096074289533e-06	0.0216384841417908	-0.00418005561362337	NA	cg18067847;cg18610958;cg09318508;cg15155463;cg03674127;cg11027058;cg03170698
chr22	22011436	22012035	600	*	4	6.60799089116435e-16	0.000620942004683013	3.88295380713579e-06	5.7322672876886e-06	0.0635288898910678	0.0227215090583227	PRAMENP	cg26280349;cg20987029;cg00115040;cg27510503
chr2	86563257	86564944	1688	*	12	1.5510272784444e-12	4.21368955920966e-05	0.00187935318168476	5.83523599192634e-06	-0.0355524764940308	-0.0010284807618077	AC015971.1, CHMP3, RNF103-CHMP3	cg16934445;cg18946805;cg05560302;cg12367520;cg16126227;cg20176285;cg21569844;cg13497301;cg11722766;cg00494761;cg24591029;cg22717109
chr13	48895173	48895318	146	*	3	6.15112260142381e-10	4.0913104346453e-06	0.000344796601353227	7.3609973238338e-06	0.0865913371563168	0.0609139322166987	NA	cg19254235;cg26740195;cg27026713
chr8	1879091	1879280	190	*	2	6.46315735944765e-10	8.35120868517395e-06	8.57941419497664e-05	1.00512772334551e-05	0.0332305132158961	0.0318450455669254	AC019257.8, ARHGEF10	cg04804094;cg09915232
chr11	67407029	67407124	96	*	3	1.45765183813695e-09	8.86817126581405e-06	0.000354582282378154	1.22927555246397e-05	0.0338844215910927	0.0252097862779403	TBC1D10C, PPP1CA	cg26422060;cg25548825;cg12368541
chr4	153896981	153897216	236	*	3	1.14937966206213e-09	1.5341485078357e-05	0.000918215984519747	1.26908366140548e-05	0.0240365394602097	0.017624519251988	NA	cg08072158;cg26236274;cg24312986
chr14	64009731	64010111	381	*	5	5.70719452049801e-11	0.000716933897167908	0.000658553594991661	1.31571999124109e-05	-0.0154975451197542	-0.00405844083494515	SYNE2	cg14010914;cg27214652;cg07788223;cg23166357;cg18021756
chr1	247275326	247276096	771	*	12	7.90556199141185e-16	0.00253183294092699	0.000388567059091675	1.56327727300247e-05	0.0527983708009459	0.0103711457632713	NA	cg18174258;cg23695504;cg25549141;cg00821073;cg12181101;cg12432038;cg15236082;cg11316386;cg17885487;cg02578321;cg22446000;cg19623519
chr14	105792505	105793554	1050	*	5	9.34408593134173e-12	0.000597140186984265	0.000259414930481111	1.91170977089016e-05	0.0248207069075712	0.0154509333667614	NA	cg18568335;cg26677958;cg03518390;cg01941881;cg08208595
chr11	45715471	45715523	53	*	3	2.47478458689339e-09	1.76425844688083e-05	0.00029094755073711	2.0185270312292e-05	0.0403723883325426	0.033956979825768	NA	cg19241690;cg19093295;cg00543723
chr8	144877810	144877880	71	*	2	1.40743754022621e-08	1.25195756754667e-05	0.00041303634580649	2.26511996736864e-05	0.0803205176185615	0.0548667913903146	ZNF250	cg13338391;cg15574189
chr6	29797211	29797328	118	*	3	2.11801489277234e-09	0.000289225198225425	0.000676708586163275	2.30000508635662e-05	0.0478806677779904	0.0219466588649316	HLA-V	cg03495632;cg19729479;cg15224505
chr3	185045673	185045967	295	*	2	1.05852184850022e-08	1.78076346835716e-05	0.000320631172186291	2.7918660644705e-05	0.0520774855688947	0.0441884633392274	VPS8	cg06445055;cg18616505
chr4	920607	920971	365	*	2	6.24914726996742e-12	0.0032933137065373	6.22802497250224e-06	3.26402621701207e-05	0.0321502050123139	0.0196330416051578	GAK	cg20587196;cg24239123
chr19	55677665	55677760	96	*	4	1.87726198728629e-08	6.14414602767173e-06	0.00677864498434576	3.31824261673757e-05	-0.011185598267576	-0.00930618220339899	EPN1	cg24270764;cg13185545;cg25360929;cg27482605
chr10	120862959	120863861	903	*	9	5.86235860809074e-18	0.00198471448435723	4.18117211254546e-07	3.4535631149521e-05	0.130615558343758	0.02467156679016	WDR11	cg18676457;cg14104072;cg07199534;cg20943499;cg06579345;cg12847800;cg24051456;cg18755204;cg13527016
chr8	143694547	143695529	983	*	5	3.14314831670952e-10	6.37628936251789e-05	0.000259993969973658	3.83198344134954e-05	0.0513744174369893	0.0207982239420296	ZNF707	cg08387463;cg10717816;cg14225847;cg24981018;cg02675353
chr19	7565554	7565757	204	*	2	2.60683929280991e-08	3.756673751066e-05	0.000295817071607588	4.78731726884418e-05	0.0624778900047629	0.0190174070797041	NA	cg04144938;cg02385167
chr17	77021038	77021716	679	*	4	3.83247513971587e-09	6.14509305269415e-05	0.00225393804743858	5.57883427869157e-05	0.0301614246954335	0.0168592029903439	NA	cg17758081;cg21523098;cg23130729;cg23107969
chr11	62379063	62379291	229	*	3	6.75982427730774e-08	1.51280242771012e-05	0.00606542532913837	5.62193115559449e-05	0.0386066224317062	0.00378059428364919	ASRGL1	cg12616487;cg09729365;cg25554152
chr4	88343574	88343742	169	*	4	2.03974767970389e-08	5.08563880233235e-05	0.00292690404029331	6.89042632891909e-05	-0.0095196079561651	-0.00449513304594031	NA	cg09474714;cg00171161;cg09912806;cg21577751
chr9	79634861	79635912	1052	*	4	4.73695014810911e-09	0.00130121690793056	0.00116887026352711	7.08214390190047e-05	-0.0323476016055365	-0.0159090673990714	TLE4	cg06462796;cg15237899;cg13929627;cg13661740
chr12	114273539	114273782	244	*	4	2.5503970035511e-09	0.000956026026981265	0.000247339394618079	7.91355281362053e-05	0.0174557863703337	0.00967543247448329	NA	cg18842598;cg00994907;cg16025118;cg16004706
chr5	138730783	138731172	390	*	3	1.13314530975017e-08	0.000844976582257199	0.00106602855085079	8.02362292409637e-05	0.0271622943205259	0.0131610721572797	CTNNA1	cg15911153;cg18796287;cg10153921
chr21	37851847	37853516	1670	*	10	8.01824595594257e-12	0.0151941897327721	0.000696939116469673	8.28762415195225e-05	0.0446845844421032	0.0185771266825004	KCNJ6	cg02417033;cg11099899;cg07057320;cg11628880;cg00071554;cg11664818;cg15310162;cg25337674;cg23808704;cg16865442
chr2	173599628	173600676	1049	*	8	2.26514630305403e-10	0.00232899245542988	0.00205678778577446	8.29154374137604e-05	0.0303557991366354	0.00916541396141226	NA	cg10756110;cg02596875;cg19975218;cg09001028;cg22782232;cg14379854;cg14796127;cg00997611
chr16	23652786	23652915	130	*	6	3.31819314798451e-09	0.000195639868820605	0.000771399249098512	8.33114433291632e-05	0.0975978133808511	0.0170783893136896	DCTN5	cg10269081;cg08762306;cg05002041;cg04961445;cg00905951;cg02735133
chr19	18209584	18209701	118	*	4	4.99841327853692e-08	4.083029074287e-05	0.00217250976268235	9.27983096071373e-05	0.030946070947142	-0.00770458781280436	AC005759.1, AC008397.2, PDE4C	cg02050915;cg23183121;cg05401880;cg09351747
chr10	80126725	80127184	460	*	4	1.99948325472367e-09	0.000724715801538188	0.000461619196425854	9.41752678131442e-05	0.0438609078445213	0.0261371912828501	NA	cg12351068;cg12536894;cg11456375;cg26845711
chr16	88990161	88990746	586	*	6	8.70432846261157e-11	0.00376756017509151	0.00255268432417532	9.70931299150648e-05	0.0485112159351217	0.0147471214673944	AC135782.2	cg00762830;cg00974579;cg06521472;cg26507422;cg00825967;cg06771256
chr2	96658020	96658648	629	*	3	1.16141295298952e-10	0.00053479356663766	6.39488791168057e-05	9.71753718479935e-05	0.0233281740654436	0.00125323373434927	FER1L5	cg03856714;cg04732357;cg09636849
chr9	140075223	140075291	69	*	2	2.19333616328434e-09	0.00692148529603623	2.1964121259212e-05	0.000108166944292994	0.0216858716068357	0.0110859791254498	NA	cg13667160;cg03231329
chr11	63894400	63894453	54	*	2	2.132687414967e-08	0.000577772784433864	7.21063373725498e-05	0.000120208944215707	0.0451813835012361	0.0262743857190961	MARK2	cg14684068;cg02914667
chr1	247373510	247373924	415	*	3	1.04891908254034e-11	0.0110038638511961	9.9891544928371e-06	0.000123570751400191	-0.0155060166146175	-0.00429964601144856	NA	cg17273415;cg01114613;cg07706540
chr15	63135330	63136985	1656	*	8	6.09732887511356e-10	6.8335328747156e-05	0.00525057643114894	0.000127788601192853	0.0368299348646005	0.018032735100708	LACTB, RPS27L	cg18176835;cg23297210;cg01908782;cg27631063;cg18291403;cg09131617;cg13777545;cg02717770
chr12	133003907	133004845	939	*	3	3.79377784917539e-11	0.00116411821427069	5.87225415289601e-05	0.00014361654916226	0.0759482311510092	0.0633222572661829	ZNF26	cg04741728;cg26524067;cg26572905
chr8	144442429	144442847	419	*	3	1.57514653893531e-08	0.0036027317149781	0.000677698588736786	0.000157409631900914	0.0324465214083362	0.0170919459757852	TONSL	cg05580800;cg00173063;cg18063989
chr6	42893034	42893443	410	*	4	9.40690615626e-10	0.00131589997179792	7.54127067153133e-05	0.000161374113569093	0.0360635250145259	0.0161542048028607	NA	cg17394230;cg03143118;cg16656493;cg16392865
chr13	113105794	113105897	104	*	2	7.6383540524854e-09	0.0100836795211525	3.37112264596619e-05	0.000165734503222466	0.0436140585316257	0.0407328833080772	F7	cg27625131;cg05285677
chr19	50833168	50833956	789	*	4	3.23979050054872e-09	0.00377964361969843	0.000642990873024537	0.00017433001224141	-0.0308227816448832	-0.0133536281886897	AC011523.1, KLK15	cg24989680;cg13670833;cg13379419;cg07919466
chr21	47739090	47739414	325	*	6	1.67094695930984e-08	0.000476588486430007	0.00982996785662843	0.000185350838984858	0.0290542227197259	0.0148942334912494	NA	cg10623945;cg01100448;cg15089774;cg26559694;cg19399966;cg03594100
chr11	995292	995478	187	*	3	1.63812500049585e-08	0.00079610167351819	0.000125358155734391	0.000194232291669107	0.070638000394061	0.0310370719922449	AP2A2	cg08811482;cg14804384;cg08876458
chr2	242325795	242326032	238	*	2	2.02566149392792e-08	0.00179557945077615	7.70062664474242e-05	0.000200783789884922	-0.043126562222836	-0.0179036001716815	NA	cg05328086;cg12184255
chr17	46131583	46131729	147	*	2	5.11784876143316e-08	0.00126408718294376	9.66008771471035e-05	0.000205323846509868	0.0304906007142307	0.0181303829326147	KANSL1	cg01518723;cg27582366
chr13	113521532	113521666	135	*	2	8.61608707877407e-07	0.000127259426940814	0.00155844659939855	0.000209622279468651	0.0335073619002372	0.0306435937357287	TMCO3	cg24982697;cg27326999
chr7	4838902	4839778	877	*	7	8.10190119025168e-10	0.00156909669159323	0.000825840670673533	0.000242670014284581	-0.06404259908092	-0.00356228315574157	RADIL	cg17093684;cg02651871;cg05801627;cg27157122;cg09223513;cg22450045;cg11864079
chr3	42641592	42642248	657	*	13	2.79955556964724e-10	0.00162500894249604	0.0125357028548875	0.000257149673011336	0.0342508290385778	0.00402123910775914	NKTR, AC006059.1	cg18568946;cg06953304;cg05555409;cg22174410;cg10309166;cg25716846;cg17250947;cg04614440;cg04103315;cg22881941;cg04843801;cg24938498;cg24334879
chr17	42295591	42295644	54	*	3	7.74339353525822e-08	0.00115451196683113	0.000210796522063804	0.000263134227440655	-0.0140243866537807	-0.0022213134516679	STAT5A	cg10183248;cg00461015;cg00376334
chr4	154682576	154682733	158	*	3	3.27556180786318e-07	0.000606700797498213	0.00210203347660646	0.000268162526712362	0.044378950901413	0.0354734148585456	LRAT	cg10279832;cg08553868;cg26349707
chr6	30885310	30885567	258	*	5	1.89129666300723e-07	0.000180558378880443	0.00923956569408173	0.000276553974766556	0.0242650068812055	0.0146121342555277	DDR1	cg05632020;cg17428922;cg03825488;cg15673491;cg09296730
chr4	1615271	1615327	57	*	2	4.41574929461324e-07	0.000648818338459151	0.00026131433260941	0.000280704641993743	0.0380467633249705	0.0239087507257027	NA	cg00010108;cg21850826
chr8	124286379	124286735	357	*	5	2.31023450689706e-08	0.0011203721719395	0.000647548216532594	0.000280719389643886	-0.0152030882950163	-0.00205747422358472	NA	cg03954553;cg08514895;cg21205504;cg14335767;cg14436888
chr1	1936420	1936711	292	*	3	7.21123511566438e-08	0.00103731326631115	0.000296317373754917	0.000295460515406085	0.0509441922862956	0.0290866570120744	CFAP74	cg16119405;cg24317585;cg23037871
chr15	52404887	52405464	578	*	10	1.73283964092184e-08	0.000110956220351655	0.025858976572004	0.000327057990847464	0.0303228942606403	0.000842134983613356	MYO5A	cg13040886;cg04519487;cg12067522;cg14431573;cg19114050;cg03151554;cg15190747;cg03929531;cg09593462;cg00413066
chr10	98592837	98593247	411	*	3	1.77402486837897e-07	0.000562047409317943	0.000494086262705423	0.000344806254210116	-0.00989955254778732	-3.74116328357999e-05	HPSE2	cg03650474;cg17989089;cg06636246
