seqnames	start	end	width	strand	no.cpgs	min_smoothed_fdr	Stouffer	HMFDR	Fisher	maxdiff	meandiff	overlapping.genes	probes
chr6	31148370	31148666	297	*	14	1.00164261582287e-22	5.22951252651622e-13	0.0168442178515976	2.82057176948417e-10	0.173329557275553	0.10055095706534	CCHCR1	cg17931227;cg09179646;cg22291762;cg24427850;cg26668675;cg03078486;cg22701603;cg26818629;cg27547543;cg09357589;cg01982166;cg23252259;cg14036627;cg11811828
chr6	127796683	127797022	340	*	4	1.64997664525954e-16	8.68664652529434e-09	0.00050519874892104	5.44401697111529e-08	0.145532973505201	0.112720383499437	THEMIS	cg20390711;cg14079463;cg20513398;cg04580344
chr3	53032891	53033167	277	*	4	3.91244972260566e-16	1.3021234163749e-06	0.000175005253589464	2.73844299875655e-07	0.0383287721214462	0.0225393376413975	SFMBT1, AC096887.1	cg24616795;cg27565382;cg12962167;cg07884673
chr5	178208550	178208610	61	*	2	2.77214536049733e-17	9.8175627320405e-06	1.90047093393739e-07	3.63137796372744e-07	-0.23850512110841	-0.0916501749102785	HNRNPAB, PHYKPL	cg23513686;cg11786587
chr10	27702309	27703377	1069	*	8	3.46671201325592e-14	9.42201793589413e-08	0.00773891861324408	1.05925921576725e-06	0.0955764846225159	0.0677640635353691	MKX	cg13458005;cg18669948;cg02402587;cg00650361;cg02933909;cg00632657;cg14174317;cg15283904
chr11	17411712	17411775	64	*	3	3.97352976033347e-14	5.51148284959849e-05	6.65757723358134e-05	1.84746277339077e-06	0.049688064428786	0.0315483618595471	ABCC8	cg23065768;cg22937444;cg01379234
chr1	244515218	244515220	3	*	2	3.05283135697527e-13	3.84189831381771e-06	1.41718927743028e-05	2.76938962776135e-06	0.0765419186217272	0.0577093932651375	CATSPERE	cg04917688;cg26108836
chr4	8508273	8508604	332	*	4	1.38846071483014e-13	1.80247034706588e-05	0.00032298423106576	4.3300104387068e-06	0.0747157041392164	0.0394458862551936	AC105345.1	cg15354822;cg19266233;cg19909921;cg13073564
chr3	159744359	159744419	61	*	2	1.12887128652619e-10	2.75609103881118e-06	0.00061859052535351	6.68662302761892e-06	0.0268650695719575	0.0261954821677334	IQCJ-SCHIP1	cg06547910;cg16199488
chr5	81575173	81575199	27	*	3	6.63193651395785e-11	8.27285652387437e-06	0.000594163700970728	1.1164907384669e-05	0.0411902139712272	0.0320856090323445	SSBP2	cg23081393;cg23106513;cg18035979
chr17	20799162	20799978	817	*	11	9.16396190221743e-14	7.27548657686918e-07	0.0208277821212672	1.22664543544611e-05	0.10422081775106	0.0554653897383803	NA	cg18251984;cg08458692;cg14560110;cg22516161;cg08288433;cg06809326;cg22570042;cg25893857;cg11633473;cg22282896;cg26496521
chr17	72702859	72702862	4	*	2	8.35453640710655e-10	7.06966377703141e-06	0.000741912169379477	1.58653744716983e-05	0.0289556283297377	0.0283890908724985	SLC39A11	cg02865242;cg04488553
chr5	475889	476842	954	*	7	2.81545428830728e-19	0.0028804730554309	6.65162901831108e-07	1.63118591330389e-05	0.052929513560221	0.0212792687570875	SLC9A3-AS1, SLC9A3	cg21159260;cg17233264;cg06852942;cg08758174;cg01295188;cg27178414;cg16235679
chr18	72837531	72837700	170	*	5	2.28669428902682e-10	1.58005203099385e-06	0.0152985420603219	1.63668909953872e-05	0.0817020171906069	0.0698409602894308	NETO1	cg21894287;cg18709881;cg04870162;cg14395744;cg04756515
chr21	40823613	40824019	407	*	6	9.07864454444545e-12	1.18882303537561e-05	0.00243194088170644	1.8284513297446e-05	0.0525338590194229	0.0321035945549706	DSCAM	cg06148396;cg15616257;cg11778840;cg27016308;cg04418027;cg24146773
chr1	1003126	1003529	404	*	4	1.14210984183956e-09	4.47940143351629e-06	0.0108516204371626	2.89539432808776e-05	0.0650689850271823	0.05620304226087	ISG15	cg10955566;cg08709360;cg01244934;cg15899727
chr6	29648161	29649092	932	*	24	1.30436740520293e-14	1.0803581455183e-07	0.0989926910923911	3.55723001698808e-05	0.180744724557079	0.0985535973470281	NA	cg25978138;cg11747594;cg15708526;cg04071440;cg08022281;cg10648573;cg12644888;cg22494932;cg25699073;cg07134666;cg00588198;cg06032337;cg16885113;cg20228636;cg11383134;cg03198009;cg03449857;cg15570656;cg02157626;cg13835168;cg08041448;cg24100841;cg19636627;cg20961245
chr2	95537405	95537708	304	*	3	1.41052399805794e-09	1.99187384001234e-05	0.00137590485753284	4.53044635017957e-05	0.114177441376116	0.0967740133260858	NA	cg05852568;cg05723825;cg00596207
chr5	23507458	23507656	199	*	8	1.23932802993719e-09	8.91204920558896e-06	0.0429650805923617	0.000123538975566828	0.109811058822126	0.0814104308917332	PRDM9	cg19837938;cg02444433;cg22603366;cg09166973;cg07011961;cg25472530;cg22079902;cg01667892
chr16	88858204	88858315	112	*	2	1.33286656864553e-08	0.000157127181664667	0.000296031662807001	0.000129125392924733	0.0765026162086939	0.0676487055287057	TRAPPC2L	cg06639733;cg06490845
